canonical_name	enwiki
Nick Harris	Nick Harris (offensive lineman)
Nick Harris	Nick Harris (punter)
Nick Hysong	Nick Hysong
Nick Johnson	Nick Johnson (American football)
Nick Kovalakides	Nick Kovalakides
Nick Miller	Nick Miller (American football)
Nick Miller	Nick Miller (hammer thrower)
Nick Ponzio	Nick Ponzio
Nick Rose	Nick Rose (American football)
Nick Rose	Nick Rose (runner)
Nick Sweeney	Nick Sweeney
Nick Willis	Nick Willis
Nickiesha Wilson	Nickiesha Wilson
Nickisha Pryce	Nickisha Pryce
Nico Young	Nico Young
Nicola Martial	Nicola Martial
Nicole Bush	Nicole Bush
Nicole Carroll	Nicole Carroll
Nicole Devonish	Nicole Devonish
Nicole Edwards Sifuentes	Nicole Sifuentes
Nicole Forrester	Nicole Forrester
Nicole Gamble	Nicole Gamble
Nicole Green	Nicole Green
Nicole Greene	Nicole Greene
Nicole Haynes	Nicole Haynes
Nicole Leach	Nicole Leach (hurdler)
Nicole Teter	Nicole Teter
Nicole Yeargin	Nicole Yeargin
Niesha Burgher	Niesha Burgher
Nikaoli Williams	Nikaoli Williams
Nikki Hiltz	Nikki Hiltz
Nikki Manson	Nikki Manson
Niklas Arrhenius	Niklas Arrhenius
Nikola Lomnická	Nikola Lomnická
Nikole Mitchell	Nikole Mitchell
Nina Schultz	Nina Schultz
Nivea Smith	Nivea Smith
Nnenna Lynch	Nnenna Lynch
Nnenya Hailey	Nnenya Hailey
Noah Akwu	Noah Akwu
Noah Bryant	Noah Bryant
Noah Williams	Noah Williams (sprinter)
Noel Carroll	Noel Carroll (athlete)
Nolan Cromwell	Nolan Cromwell
Norbert Elliott	Norbert Elliott
Norm Trerise	Norm Trerise
Norman Grimes	Norman Grimes
O'Neal Wilder	O'Neal Wilder
Obadele Thompson	Obadele Thompson
Obakeng Ngwigwa	Obakeng Ngwigwa
Obed Mutanya	Obed Mutanya
Obi Igbokwe	Obi Igbokwe
Obinna Eregbu	Obinna Eregbu
Ocky Clark	Ocky Clark
Octavious Freeman	Octavious Freeman
Octavius Terry	Octavius Terry
Oddur Sigurðsson	Oddur Sigurðsson
Odean Skeen	Odean Skeen
Ohene Karikari	Ohene Karikari
Ola Sesay	Ola Sesay
Olapade Adeniken	Olapade Adeniken
Olav Jenssen	Olav Jenssen
Ole Hesselbjerg	Ole Hesselbjerg
Olin Hacker	Olin Hacker
Oliver Koenig	Oliver Koenig
